지역,발생일시,복구일시,정전가구
경기도 수원시 권선구,2021.07.22 14:09 , 2021.07.22 14:18,2000
경기도 용인시 처인구,2021.07.22 14:05 , 2021.07.22 14:17,2000
인천광역시 남동구,2021.07.22 14:05 , 2021.07.22 14:36,2000
충청북도 증평군,2021.07.22 14:05 , 2021.07.22 14:40,2000
충청남도 논산시,2021.07.22 14:01 , 2021.07.22 14:37,2000
경기도 이천시,2021.07.22 14:00 , 2021.07.22 14:19,2000
경기도 수원시 권선구,2021.07.22 14:00 , 2021.07.22 14:18,2000
충청북도 충주시,2021.07.22 14:00 , 2021.07.22 14:39,2000
경기도 가평군,2021.07.22 14:00 , 2021.07.22 14:37,2000
전라남도 곡성군,2021.07.22 14:00 , 2021.07.22 14:21,2000
경기도 군포시,2021.07.22 14:00 , 2021.07.22 14:27,2000
경기도 안산시 단원구,2021.07.22 14:00 , 2021.07.22 14:22,2000
경기도 광주시,2021.07.22 14:00 , 2021.07.22 14:36,2000
경기도 광명시,2021.07.22 14:00 , 2021.07.22 14:19,2000
서울특별시 서초구,2021.07.22 14:00 , 2021.07.22 14:25,2001
부산광역시 부산진구,2021.07.22 14:00 , 2021.07.22 14:32,2000
충청북도 단양군,2021.07.22 14:00 , 2021.07.22 14:37,2000
강원도 양구군,2021.07.22 14:00 , 2021.07.22 14:20,2000
강원도 정선군,2021.07.22 14:00 , 2021.07.22 14:21,2000
충청북도 청주시 서원구,2021.07.22 14:00 , 2021.07.22 14:37,2000
강원도 원주시,2021.07.22 14:00 , 2021.07.22 14:36,2000
강원도 삼척시,2021.07.22 14:00 , 2021.07.22 14:36,2000
충청북도 청주시 청원구,2021.07.22 14:00 , 2021.07.22 14:38,2000
강원도 고성군,2021.07.22 14:00 , 2021.07.22 14:38,2000
경상북도 영양군,2021.07.22 14:00 , 2021.07.22 14:18,2000
전라남도 강진군,2021.07.22 14:00 , 2021.07.22 14:40,2000
경상남도 사천시,2021.07.22 14:00 , 2021.07.22 14:21,2000
경상북도 구미시,2021.07.22 14:00 , 2021.07.22 14:19,2000
경상북도 구미시,2021.07.22 14:00 , 2021.07.22 14:19,2000
경상남도 창녕군,2021.07.22 14:00 , 2021.07.22 14:18,2000
경상남도 함안군,2021.07.22 14:00 , 2021.07.22 14:38,2000
경상북도 울진군,2021.07.22 14:00 , 2021.07.22 14:27,2000
경상북도 울진군,2021.07.22 14:00 , 2021.07.22 14:29,2000
경상북도 경산시,2021.07.22 14:00 , 2021.07.22 14:40,2000
경기도 파주시,2021.07.22 13:50 , 2021.07.22 10:10,1000
전라북도 익산시,2021.07.22 13:39 , 2021.07.22 13:39,1000
전라북도 장수군,2021.07.22 13:38 , 2021.07.22 13:43,1000
전라북도 군산시,2021.07.22 13:37 , 2021.07.22 13:37,1000
경기도 하남시,2021.07.22 13:36 , 2021.07.22 13:35,1000
전라북도 부안군,2021.07.22 13:36 , 2021.07.22 13:42,1000
충청북도 음성군,2021.07.22 13:36 , 2021.07.22 13:35,1000
전라북도 고창군,2021.07.22 13:35 , 2021.07.22 13:34,1000
서울특별시 금천구,2021.07.22 13:34 , 2021.07.22 13:32,1000
서울특별시 강남구,2021.07.22 13:33 , 2021.07.22 13:33,1000
전라북도 김제시,2021.07.22 13:33 , 2021.07.22 13:33,1000
전라북도 진안군,2021.07.22 13:33 , 2021.07.22 13:40,1000
전라북도 김제시,2021.07.22 13:32 , 2021.07.22 13:36,1000
전라북도 순창군,2021.07.22 13:32 , 2021.07.22 13:39,1000
서울특별시 관악구,2021.07.22 13:32 , 2021.07.22 13:32,1000
서울특별시 영등포구,2021.07.22 13:32 , 2021.07.22 13:32,1000
서울특별시 서초구,2021.07.22 13:32 , 2021.07.22 13:32,1000
전라북도 남원시,2021.07.22 13:32 , 2021.07.22 13:40,1000
서울특별시 강서구,2021.07.22 13:32 , 2021.07.22 13:31,1000
전라북도 임실군,2021.07.22 13:31 , 2021.07.22 13:30,1000
서울특별시 강남구,2021.07.22 13:31 , 2021.07.22 13:31,1000
전라북도 무주군,2021.07.22 13:31 , 2021.07.22 13:37,1000
전라북도 익산시,2021.07.22 13:29 , 2021.07.22 13:28,1000
전라북도 정읍시,2021.07.22 13:29 , 2021.07.22 13:29,1000
서울특별시 서초구,2021.07.22 13:15 , 2021.07.22 13:36,1001
경상북도 예천군,2021.07.22 13:00 , 2021.07.22 09:54,1000
전라북도 부안군,2021.07.22 11:33 , 2021.07.22 11:32,1000
전라북도 장수군,2021.07.22 11:33 , 2021.07.22 11:33,1000
전라북도 고창군,2021.07.22 11:32 , 2021.07.22 11:32,1000
전라북도 김제시,2021.07.22 11:31 , 2021.07.22 11:30,1000
전라북도 남원시,2021.07.22 11:30 , 2021.07.22 11:28,1000
전라북도 임실군,2021.07.22 11:30 , 2021.07.22 11:30,1000
전라북도 익산시,2021.07.22 11:30 , 2021.07.22 11:29,1000
부산광역시 사하구,2021.07.22 11:30 , 2021.07.22 10:34,1000
전라북도 순창군,2021.07.22 11:29 , 2021.07.22 11:28,1000
전라북도 정읍시,2021.07.22 11:28 , 2021.07.22 11:27,1000
전라북도 익산시,2021.07.22 11:28 , 2021.07.22 11:28,1000
전라북도 진안군,2021.07.22 11:28 , 2021.07.22 11:43,1000
전라북도 전주시 완산구,2021.07.22 11:28 , 2021.07.22 11:32,1000
전라북도 무주군,2021.07.22 11:28 , 2021.07.22 11:27,1000
전라북도 군산시,2021.07.22 11:28 , 2021.07.22 11:27,1000
전라북도 김제시,2021.07.22 11:27 , 2021.07.22 11:27,1000
전라북도 전주시 덕진구,2021.07.22 11:26 , 2021.07.22 11:26,1000
전라북도 임실군,2021.07.22 10:53 , 2021.07.22 10:34,1000
부산광역시 강서구,2021.07.22 10:40 , 2021.07.22 10:43,1000
부산광역시 기장군,2021.07.22 10:40 , 2021.07.22 10:42,1000
전라북도 장수군,2021.07.22 10:39 , 2021.07.22 10:37,1000
전라북도 정읍시,2021.07.22 10:39 , 2021.07.22 10:39,1000
부산광역시 영도구,2021.07.22 10:38 , 2021.07.22 10:37,10000
전라북도 김제시,2021.07.22 10:38 , 2021.07.22 10:37,1000
전라북도 고창군,2021.07.22 10:37 , 2021.07.22 10:36,1000
전라북도 부안군,2021.07.22 10:37 , 2021.07.22 10:36,1000
부산광역시 강서구,2021.07.22 10:36 , 2021.07.22 10:36,1000
전라북도 김제시,2021.07.22 10:36 , 2021.07.22 10:35,1000
울산광역시 울주군,2021.07.22 10:35 , 2021.07.22 10:34,1000
부산광역시 금정구,2021.07.22 10:35 , 2021.07.22 10:34,1000
전라북도 익산시,2021.07.22 10:35 , 2021.07.22 10:34,1000
울산광역시 울주군,2021.07.22 10:35 , 2021.07.22 10:35,1000
부산광역시 사하구,2021.07.22 10:35 , 2021.07.22 10:35,1000
경상남도 김해시,2021.07.22 10:35 , 2021.07.22 10:35,1000
부산광역시 기장군,2021.07.22 10:34 , 2021.07.22 10:35,1000
부산광역시 부산진구,2021.07.22 10:34 , 2021.07.22 10:33,1000
전라북도 순창군,2021.07.22 10:33 , 2021.07.22 10:32,1000
전라북도 군산시,2021.07.22 10:32 , 2021.07.22 10:32,1000
전라북도 진안군,2021.07.22 10:32 , 2021.07.22 10:48,1000
전라북도 전주시 완산구,2021.07.22 10:32 , 2021.07.22 10:37,1000
전라북도 무주군,2021.07.22 10:32 , 2021.07.22 10:31,1000
전라북도 전주시 덕진구,2021.07.22 10:31 , 2021.07.22 10:31,1000
울산광역시 북구,2021.07.22 10:30 , 2021.07.22 10:35,1000
부산광역시 부산진구,2021.07.22 10:30 , 2021.07.22 10:35,1000
전라북도 남원시,2021.07.22 10:30 , 2021.07.22 10:33,1000
울산광역시 북구,2021.07.22 10:30 , 2021.07.22 10:36,1000
충청북도 영동군,2021.07.22 10:30 , 2021.07.22 10:19,1000
경상남도 양산시,2021.07.22 10:30 , 2021.07.22 10:33,1000
전라북도 익산시,2021.07.22 10:26 , 2021.07.22 10:26,1000
서울특별시 강남구,2021.07.22 10:22 , 2021.07.22 10:22,1000
경기도 성남시 수정구,2021.07.22 10:20 , 2021.07.22 10:21,1000
경기도 평택시,2021.07.22 10:19 , 2021.07.22 10:18,1000
경기도 용인시 수지구,2021.07.22 10:18 , 2021.07.22 10:18,1000
경기도 광주시,2021.07.22 10:17 , 2021.07.22 10:25,1000
경기도 오산시,2021.07.22 10:16 , 2021.07.22 10:16,1000
